microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
0,0.943,-0.292,0.215,0,-0.488,0,-55.514,-68,-147.761,1
57,1.022,0.172,0.036,-3.54,0.916,0.977,76.415,-80.865,177.012,1
105,0.938,-0.284,0.217,-0.732,0.122,0.061,-55.618,-68.038,-147.497,1
147,1.029,0.169,0.021,-3.113,-0.61,-0.488,76.531,-80.925,176.721,1
210,0.932,-0.313,0.219,-1.892,2.075,-1.404,-55.399,-68.066,-147.623,1
251,1.015,0.168,0.042,-3.967,-1.892,-0.61,77.069,-80.887,175.99,1
301,0.942,-0.316,0.227,-0.061,3.296,-1.343,-54.91,-68.022,-148.063,1
341,1.02,0.177,0.04,-1.282,-1.099,-2.319,78.267,-80.722,174.699,1
405,0.943,-0.314,0.233,-1.038,5.859,0,-53.877,-67.824,-148.991,1
477,1.025,0.202,0.038,0.366,-0.916,-5.31,79.277,-80.277,173.606,1
493,0.934,-0.329,0.235,-3.357,8.484,2.014,-52.745,-67.335,-150.013,1
552,1.027,0.213,0.053,2.014,-0.427,-7.935,79.492,-79.552,173.243,1
600,0.931,-0.315,0.257,0.549,9.521,3.052,-51.548,-66.561,-150.87,1
658,1.021,0.188,0.042,-2.869,0.549,-10.071,79.755,-78.569,172.804,1
705,0.919,-0.324,0.262,1.526,10.193,3.296,-50.191,-65.643,-151.837,1
747,1.009,0.174,0.041,-3.906,1.16,-10.01,79.728,-77.574,172.485,1
853,0.988,0.168,0.045,0.183,0.488,-4.517,79.843,-77.003,172.161,1
900,0.9,-0.333,0.257,2.991,0.061,-0.183,-48.906,-64.6,-152.479,1
972,0.98,0.199,0.047,0.061,-0.122,3.967,79.865,-77.173,172.117,1
989,0.914,-0.337,0.273,1.16,-5.005,-0.916,-49.18,-64.852,-151.716,1
1046,1.013,0.234,0.031,2.93,0.122,4.578,79.629,-77.635,172.601,1
1096,0.924,-0.325,0.289,0.366,-2.563,-0.305,-49.653,-65.127,-150.677,1
1167,1.017,0.276,0.03,1.465,-0.305,-0.488,79.969,-77.756,172.667,1
1199,0.929,-0.313,0.29,1.404,2.686,0.183,-49.389,-65.116,-150.37,1
