设备名称,电压,版本,片上时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X,磁场Y,磁场Z,四元数0,四元数1,四元数2,四元数3,状态
WT1(E604078EA627),3.91,13104, 2021-05-17 20:36:34.941,1.0290000000000001,0.034,-0.061,-0.9159999999999999,-0.061,1.3430000000000002,155.967,-85.353,101.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:36:34.954,0.993,-0.18,0.062,-0.6709999999999999,0.0,0.732,-74.229,-77.492,-135.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:36:35.061,0.9990000000000001,-0.18100000000000002,0.057,-0.122,0.244,1.831,-74.515,-77.437,-135.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:36:35.094,1.033,0.036000000000000004,-0.077,-2.38,0.305,0.9159999999999999,156.533,-85.435,100.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:36:35.142,1.022,0.033,-0.079,-0.61,-0.977,0.061,156.423,-85.56200000000001,100.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:36:35.156,0.992,-0.203,0.044000000000000004,-2.563,0.732,1.77,-74.542,-77.366,-135.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:36:35.248,1.0190000000000001,0.042,-0.066,-2.991,-0.977,0.6709999999999999,156.352,-85.56200000000001,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:36:35.263,0.983,-0.171,0.054000000000000006,-5.005,0.244,2.0140000000000002,-74.416,-77.355,-135.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:36:35.335,1.026,0.024,-0.061,-3.2960000000000003,2.625,1.587,157.467,-85.682,98.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:36:35.356,0.983,-0.185,0.061,-5.005,-0.366,1.709,-74.773,-77.344,-135.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
