设备名称,电压,版本,片上时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X,磁场Y,磁场Z,四元数0,四元数1,四元数2,四元数3,状态
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:58.398,0.9790000000000001,-0.215,0.055,0.61,0.61,0.9159999999999999,-77.454,-74.921,-136.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:58.404,1.014,-0.012,-0.098,1.4040000000000001,0.732,-0.366,-166.597,-84.051,63.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:58.493,1.0290000000000001,-0.011000000000000001,-0.11599999999999999,-5.31,1.2209999999999999,0.61,-166.783,-84.056,63.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:58.508,0.9890000000000001,-0.22399999999999998,0.048,0.42700000000000005,0.122,2.0140000000000002,-77.487,-74.806,-135.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:58.599,0.978,-0.226,0.04,-2.258,0.9159999999999999,0.8540000000000001,-77.547,-74.767,-136.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:58.601,1.034,-0.040999999999999995,-0.11199999999999999,-0.366,0.244,-0.8540000000000001,-166.72299999999998,-84.03399999999999,63.166000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:58.693,0.9740000000000001,-0.228,0.048,-1.2819999999999998,1.2819999999999998,0.366,-77.146,-74.828,-136.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:58.719,1.028,-0.026000000000000002,-0.099,4.456,0.366,-1.099,-167.43200000000002,-84.084,63.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:58.786,0.985,-0.22699999999999998,0.066,-0.488,1.892,0.61,-76.564,-74.78399999999999,-136.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:58.809,1.028,-0.019,-0.102,2.197,-0.8540000000000001,-1.038,-167.86,-84.249,64.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:58.896,0.9790000000000001,-0.22399999999999998,0.054000000000000006,2.441,2.38,-0.42700000000000005,-75.861,-74.729,-137.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:58.900,1.012,-0.035,-0.128,3.54,-3.784,-3.235,-169.937,-84.10600000000001,66.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:59.047,0.991,-0.22,0.065,-0.305,3.235,-2.38,-74.811,-74.949,-138.64700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:59.079,1.026,-0.015,-0.115,2.319,-4.333,-2.319,-172.84799999999998,-83.743,69.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:59.094,0.981,-0.23600000000000002,0.08199999999999999,3.052,3.7230000000000003,-0.9159999999999999,-73.279,-75.086,-140.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:59.186,0.977,-0.223,0.096,0.061,7.629,2.441,-70.862,-74.899,-142.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
