设备名称,电压,版本,片上时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X,磁场Y,磁场Z,四元数0,四元数1,四元数2,四元数3,状态
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:32:42.662,1.002,-0.17,0.1,-0.305,1.099,1.6480000000000001,-60.897,-77.87100000000001,-147.79399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:32:42.714,1.024,0.028999999999999998,-0.073,0.183,-0.42700000000000005,-0.732,173.342,-84.891,73.92699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:32:42.774,0.9790000000000001,-0.159,0.095,-1.6480000000000001,0.8540000000000001,1.465,-60.485,-77.783,-147.79399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:32:42.819,1.035,0.015,-0.073,-0.977,2.075,-0.061,172.623,-84.946,74.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:32:42.866,0.9890000000000001,-0.174,0.102,-0.977,-0.244,1.3430000000000002,-60.403,-77.717,-147.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:32:42.928,1.021,0.002,-0.083,2.563,1.831,-0.244,172.94099999999997,-85.111,74.53699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:32:42.974,0.987,-0.17300000000000001,0.099,3.6010000000000004,-0.183,2.93,-60.798,-77.59100000000001,-146.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:32:43.030,1.03,0.002,-0.09300000000000001,2.502,0.366,0.9159999999999999,173.49099999999999,-85.17200000000001,74.39399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:32:43.105,1.03,0.005,-0.066,1.526,1.526,0.305,173.74900000000002,-85.40799999999999,74.42699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:32:43.116,0.992,-0.151,0.095,1.892,-1.16,2.441,-61.238,-77.514,-145.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:32:43.144,0.992,-0.195,0.091,2.502,0.061,4.395,-61.809,-77.294,-144.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:32:43.210,1.046,0.001,-0.038,2.136,4.7,-0.8540000000000001,173.013,-85.79799999999999,75.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
