设备名称,电压,版本,片上时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X,磁场Y,磁场Z,四元数0,四元数1,四元数2,四元数3,状态
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:22.756,0.972,-0.287,0.102,5.981,0.244,-0.122,-70.46600000000001,-71.82300000000001,-140.32299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:22.809,1.033,0.065,-0.02,1.953,-0.488,0.305,104.925,-86.66,154.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:22.835,0.972,-0.29100000000000004,0.095,2.8080000000000003,-0.61,0.9159999999999999,-70.543,-71.85600000000001,-139.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:22.928,0.975,-0.27899999999999997,0.09300000000000001,-0.366,0.0,1.2209999999999999,-70.582,-71.84,-139.10299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:22.992,1.035,0.047,-0.021,0.7929999999999999,0.122,0.305,104.42,-86.666,154.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:23.004,1.026,0.053,-0.019,0.366,0.305,0.183,103.62899999999999,-86.704,155.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:23.037,0.9670000000000001,-0.272,0.08900000000000001,-3.235,-0.305,1.465,-70.642,-71.807,-138.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:23.124,1.025,0.066,-0.03,0.0,-1.099,0.488,103.28200000000001,-86.75399999999999,155.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:23.132,0.971,-0.28300000000000003,0.091,-1.709,0.183,1.2209999999999999,-70.796,-71.801,-138.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:38:23.215,1.031,0.068,-0.021,-1.099,-2.197,0.061,106.979,-86.671,151.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:23.251,0.972,-0.26899999999999996,0.08900000000000001,0.42700000000000005,-0.061,-0.61,-70.74600000000001,-71.917,-137.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.95,13103, 2021-05-17 20:38:23.312,0.958,-0.263,0.092,-3.7230000000000003,2.197,-3.174,-70.30199999999999,-72.142,-138.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
