设备名称,电压,版本,片上时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X,磁场Y,磁场Z,四元数0,四元数1,四元数2,四元数3,状态
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:40.915,0.982,-0.191,0.042,2.563,-1.526,1.709,-78.821,-76.59100000000001,-145.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:40.916,1.024,0.03,-0.035,-0.366,3.2960000000000003,2.93,92.58200000000001,-89.445,158.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.027,0.991,-0.183,0.037000000000000005,-6.348,-1.099,-1.099,-79.51899999999999,-76.789,-143.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.034,1.041,0.04,-0.003,-10.193,-0.244,1.953,78.206,-89.55,173.25400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.101,1.006,-0.22,0.027999999999999997,1.953,-2.136,-0.122,-80.634,-76.899,-142.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.124,1.053,-0.011000000000000001,0.024,2.6860000000000004,0.8540000000000001,2.8080000000000003,36.541,-89.69200000000001,-145.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.211,0.99,-0.188,0.044000000000000004,-2.991,-0.244,0.9159999999999999,-81.01899999999999,-76.94800000000001,-141.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.216,1.022,0.027999999999999997,-0.009000000000000001,3.174,1.77,1.831,4.285,-89.544,-113.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.318,0.991,-0.203,0.035,-0.6709999999999999,-0.5489999999999999,0.0,-81.118,-76.992,-140.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.320,1.031,0.005,0.011000000000000001,2.93,1.038,0.122,-1.642,-89.478,-107.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.413,0.985,-0.20600000000000002,0.028999999999999998,0.977,-0.6709999999999999,-0.183,-81.337,-77.064,-139.64700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.414,1.0290000000000001,0.012,0.035,2.38,0.7929999999999999,0.122,-2.521,-89.429,-106.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.506,0.986,-0.21100000000000002,0.024,1.465,-0.977,0.366,-81.678,-77.15100000000001,-138.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.514,1.036,0.02,0.039,0.5489999999999999,6.7139999999999995,0.7929999999999999,-3.1919999999999997,-88.98899999999999,-105.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.605,1.043,-0.001,0.08800000000000001,4.333,19.104,-1.6480000000000001,0.9670000000000001,-87.66,-109.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.629,0.991,-0.187,0.02,0.366,-0.244,1.2209999999999999,-81.97399999999999,-77.217,-138.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.709,0.997,-0.196,0.013000000000000001,5.92,-0.305,4.638999999999999,-82.17200000000001,-77.003,-137.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.740,1.048,-0.012,0.08800000000000001,4.395,25.33,-1.587,2.362,-85.501,-110.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.801,0.98,-0.19699999999999998,0.01,10.559000000000001,0.732,6.104,-81.81,-76.492,-136.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.829,1.016,-0.057999999999999996,0.11800000000000001,-5.371,26.855,0.8540000000000001,0.198,-83.029,-108.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:41.903,0.981,-0.149,0.025,4.761,0.122,2.38,-81.453,-76.163,-135.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:41.918,1.031,-0.025,0.18899999999999997,4.333,39.611999999999995,-0.488,0.522,-79.964,-108.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.011,0.986,-0.27,0.027000000000000003,3.6010000000000004,-0.6709999999999999,7.019,-81.95299999999999,-75.987,-135.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.012,1.028,-0.039,0.262,2.8080000000000003,40.1,2.319,0.7090000000000001,-76.031,-108.45200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.119,0.987,-0.226,0.017,-0.6709999999999999,-2.441,2.0140000000000002,-82.557,-75.547,-133.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.130,0.9940000000000001,-0.006,0.39299999999999996,15.808,56.946000000000005,1.526,1.357,-70.917,-107.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.196,0.9740000000000001,-0.225,0.018000000000000002,3.418,-1.099,3.7230000000000003,-82.50200000000001,-75.251,-133.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.220,0.972,0.031,0.489,15.808,73.242,-1.709,2.252,-64.265,-107.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.308,0.975,-0.276,0.031,8.423,-0.305,9.521,-82.87,-74.63,-131.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.325,0.878,0.037000000000000005,0.527,11.963,73.12,-3.6010000000000004,3.477,-56.777,-107.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.381,0.983,-0.264,0.032,11.414000000000001,0.061,10.437000000000001,-82.375,-73.641,-130.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.429,0.8059999999999999,0.028999999999999998,0.591,8.362,58.777,-2.319,4.268,-50.394,-107.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.487,0.9620000000000001,-0.244,0.03,11.536,-1.77,8.484,-81.733,-72.85,-129.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.520,0.7559999999999999,0.053,0.68,6.47,49.56100000000001,1.831,4.559,-45.236000000000004,-106.78200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.580,0.973,-0.282,0.028999999999999998,9.338,-1.892,4.822,-81.65,-72.444,-128.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.624,0.685,0.064,0.748,1.2819999999999998,41.748000000000005,4.578,4.373,-40.983999999999995,-106.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.691,0.972,-0.309,0.039,8.24,-1.587,5.371,-81.777,-72.109,-127.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.744,0.643,0.106,0.8220000000000001,1.587,38.086,4.272,4.296,-37.222,-105.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.803,0.9740000000000001,-0.292,0.045,5.92,0.244,4.211,-81.475,-71.752,-126.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.820,0.585,0.107,0.866,1.465,43.091,2.38,4.631,-33.228,-104.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.878,0.958,-0.301,0.04,4.7,2.8080000000000003,5.92,-80.596,-71.301,-126.95299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:42.924,0.509,0.098,0.895,0.8540000000000001,48.461999999999996,0.183,5.004,-28.701999999999998,-104.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:42.986,0.9520000000000001,-0.326,0.042,5.553999999999999,2.38,7.935,-79.86,-70.598,-127.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.031,0.445,0.063,0.922,1.099,48.888999999999996,3.845,4.812,-23.901,-104.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.112,0.9279999999999999,-0.325,0.021,-1.953,2.258,5.797999999999999,-78.931,-69.955,-127.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.164,0.35200000000000004,0.071,0.938,-12.817,50.11,-1.709,4.477,-18.957,-103.99700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.254,0.271,0.129,0.9540000000000001,-3.784,48.888999999999996,-8.484,5.46,-14.238,-104.18299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.280,0.976,-0.32899999999999996,0.111,-2.625,3.235,3.235,-78.382,-69.038,-127.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.359,0.195,0.083,0.9790000000000001,11.475,45.471000000000004,4.211,6.004,-9.673,-104.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.392,0.932,-0.359,0.035,-6.775,5.553999999999999,2.197,-77.173,-68.846,-128.83700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.435,0.107,0.08199999999999999,1.0,1.831,43.091,-0.6709999999999999,6.327999999999999,-5.301,-103.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.481,0.946,-0.33899999999999997,0.078,1.6480000000000001,1.16,4.0889999999999995,-77.064,-68.417,-128.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.539,0.021,0.159,0.986,0.183,41.138000000000005,1.2209999999999999,6.79,-1.06,-103.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.603,0.9470000000000001,-0.35200000000000004,0.076,1.709,1.709,5.249,-76.729,-67.98899999999999,-128.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.659,-0.04,0.124,0.991,5.31,36.986999999999995,-0.244,6.921,2.8560000000000003,-102.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.728,0.9470000000000001,-0.342,0.096,-2.197,3.662,3.54,-76.20100000000001,-67.604,-128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.734,-0.10099999999999999,0.111,0.978,1.6480000000000001,36.133,0.183,7.3389999999999995,6.471,-102.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.793,0.934,-0.345,0.079,-4.0889999999999995,2.93,1.6480000000000001,-75.932,-67.429,-129.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.899,0.929,-0.35,0.09300000000000001,-1.2819999999999998,2.319,1.6480000000000001,-75.789,-67.26899999999999,-129.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:43.901,-0.17,0.157,0.97,-0.061,33.997,2.258,7.888,10.02,-101.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:43.961,0.938,-0.33299999999999996,0.096,-1.953,2.0140000000000002,1.6480000000000001,-75.635,-67.126,-129.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:44.008,-0.214,0.158,0.945,-8.911,31.25,1.77,7.976,13.217,-101.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:44.049,-0.28600000000000003,0.128,0.914,-1.3430000000000002,22.949,-1.465,8.399,15.985,-100.50299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:44.086,0.9259999999999999,-0.35200000000000004,0.091,-3.235,2.319,1.099,-75.377,-67.061,-129.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:44.154,-0.262,0.16699999999999998,0.9540000000000001,-9.46,12.634,0.061,8.811,17.732,-100.32700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:44.162,0.938,-0.32,0.084,-1.831,1.2209999999999999,-0.305,-75.251,-67.0,-129.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:44.286,0.919,-0.41,0.08800000000000001,0.42700000000000005,-1.2209999999999999,1.4040000000000001,-75.531,-67.192,-129.69899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:44.305,-0.38799999999999996,0.158,0.855,22.826999999999998,-0.732,-1.2819999999999998,9.399,18.913,-100.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.91,13104, 2021-05-17 20:34:44.350,-0.3,0.149,0.875,3.6010000000000004,-23.193,-1.4040000000000001,9.036,17.864,-100.28299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:44.364,0.94,-0.337,0.08900000000000001,2.075,-3.052,-2.563,-75.624,-67.33,-128.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.94,13103, 2021-05-17 20:34:44.471,0.955,-0.344,0.08900000000000001,-8.484,-2.8689999999999998,-7.935,-76.207,-68.132,-128.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
