设备名称,电压,版本,片上时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X,磁场Y,磁场Z,四元数0,四元数1,四元数2,四元数3,状态
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:53.772,0.9940000000000001,-0.161,0.045,-0.977,0.42700000000000005,0.7929999999999999,-74.268,-78.613,-141.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:53.868,0.993,-0.182,0.043,2.93,0.366,1.465,-74.432,-78.574,-141.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:53.889,1.026,-0.067,-0.126,-1.465,0.0,0.42700000000000005,-155.083,-82.321,38.001999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:53.964,0.993,-0.182,0.043,-0.305,-0.244,1.587,-74.471,-78.536,-140.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:53.966,1.0190000000000001,-0.046,-0.12,-1.831,-0.305,0.732,-155.05,-82.277,38.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.128,1.028,-0.065,-0.124,0.366,-0.366,0.5489999999999999,-154.97899999999998,-82.22200000000001,37.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.129,1.022,-0.055,-0.12300000000000001,3.113,-0.61,-0.61,-155.127,-82.18299999999999,38.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.265,1.014,-0.046,-0.122,1.038,-0.488,-0.305,-155.561,-82.145,38.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:54.267,0.9940000000000001,-0.16399999999999998,0.040999999999999995,-1.038,0.244,0.42700000000000005,-74.421,-78.536,-140.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:54.359,0.983,-0.158,0.043,-0.42700000000000005,0.122,1.465,-74.301,-78.536,-140.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.428,1.016,-0.049,-0.10800000000000001,-1.953,0.488,0.6709999999999999,-155.621,-82.134,38.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.473,1.02,-0.068,-0.131,1.3430000000000002,2.747,1.16,-154.688,-82.205,37.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:54.485,0.998,-0.182,0.049,1.709,-0.244,2.502,-74.68,-78.464,-139.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:54.565,0.9890000000000001,-0.18,0.042,1.3430000000000002,-0.9159999999999999,2.8689999999999998,-75.339,-78.322,-138.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.609,1.021,-0.061,-0.11,0.061,2.0140000000000002,1.465,-152.946,-82.34299999999999,36.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:54.674,0.993,-0.18,0.045,1.6480000000000001,-1.099,3.113,-76.047,-78.12899999999999,-137.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.684,1.025,-0.063,-0.107,0.6709999999999999,2.625,1.2209999999999999,-151.282,-82.50200000000001,34.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:54.767,0.9890000000000001,-0.198,0.037000000000000005,2.319,-0.6709999999999999,4.578,-76.77199999999999,-77.84899999999999,-136.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.849,1.025,-0.083,-0.10099999999999999,4.761,2.319,0.305,-149.27700000000002,-82.73299999999999,32.486999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:54.850,1.024,-0.057999999999999996,-0.1,7.507000000000001,3.235,0.366,-146.887,-82.958,30.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:54.863,0.991,-0.19899999999999998,0.037000000000000005,4.211,-1.831,4.761,-77.531,-77.503,-135.25799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:54.975,1.001,-0.223,0.023,7.751,-1.4040000000000001,5.371,-78.102,-77.108,-134.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.068,0.9740000000000001,-0.21100000000000002,0.040999999999999995,4.395,0.244,7.385,-78.22800000000001,-76.542,-133.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:55.147,1.041,-0.051,-0.095,6.5920000000000005,2.441,-0.9159999999999999,-144.174,-83.309,28.316999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.161,0.997,-0.24,0.049,0.977,1.709,12.145999999999999,-78.86,-75.608,-132.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:55.209,1.016,-0.086,-0.062,4.0889999999999995,5.859,0.488,-140.59799999999998,-83.749,25.054000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:55.209,1.048,-0.091,-0.046,2.8080000000000003,10.681,0.244,-133.808,-84.419,18.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.241,0.985,-0.25,0.051,6.5920000000000005,3.235,15.93,-78.684,-74.22399999999999,-131.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:55.253,1.038,-0.062,-0.025,1.953,13.0,-0.9159999999999999,-123.70100000000001,-85.243,8.591000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.370,0.9740000000000001,-0.28,0.046,0.6709999999999999,2.8080000000000003,16.479,-78.514,-72.691,-131.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.447,0.965,-0.298,0.059000000000000004,3.967,1.465,12.939,-78.431,-71.32300000000001,-131.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.544,0.9540000000000001,-0.316,0.059000000000000004,8.057,0.488,11.047,-78.344,-70.203,-130.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:55.583,1.026,-0.059000000000000004,-0.057,-0.122,14.954,-0.061,-106.40799999999999,-85.95200000000001,-8.568999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:55.584,1.0190000000000001,-0.085,-0.021,0.305,12.817,1.038,-88.09899999999999,-86.072,-26.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:55.598,1.035,-0.073,0.006,4.822,7.69,0.244,-74.279,-85.902,-40.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.640,0.9470000000000001,-0.29600000000000004,0.059000000000000004,2.136,1.16,11.107999999999999,-78.267,-69.258,-129.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.751,0.937,-0.303,0.079,1.16,0.183,12.939,-78.486,-68.22,-128.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.845,0.9470000000000001,-0.355,0.08900000000000001,10.01,0.977,16.907,-79.014,-66.687,-127.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:55.941,0.92,-0.429,0.078,-0.183,3.3569999999999998,21.605999999999998,-79.365,-64.77,-126.95299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D8:09:BF:40:2B:C3),3.93,13103, 2021-05-17 20:40:56.049,0.9359999999999999,-0.451,0.07,-6.47,5.127000000000001,25.269000000000002,-79.37100000000001,-62.386,-126.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:56.108,1.046,-0.10300000000000001,0.025,-1.465,6.042000000000001,0.977,-63.77,-85.556,-50.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.89,13104, 2021-05-17 20:40:56.109,1.035,-0.09699999999999999,0.07200000000000001,-3.2960000000000003,12.755999999999998,4.5169999999999995,-52.894,-84.727,-61.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
