设备名称,电压,版本,片上时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X,磁场Y,磁场Z,四元数0,四元数1,四元数2,四元数3,状态
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:09.773,1.03,-0.055,-0.032,0.7929999999999999,0.6709999999999999,-0.6709999999999999,-123.475,-87.006,108.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 21:04:09.778,1.005,-0.08800000000000001,0.025,1.099,0.244,1.526,-74.108,-83.304,-167.706,0.0,0.0,0.0,-0.33386,-0.57623,0.38998,-0.63589,
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:09.864,1.031,-0.03,-0.033,0.183,0.8540000000000001,-0.8540000000000001,-122.338,-87.039,107.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 21:04:09.881,1.005,-0.08900000000000001,0.03,-0.488,0.61,0.9159999999999999,-74.125,-83.243,-167.59599999999998,0.0,0.0,0.0,-0.33386,-0.57623,0.38998,-0.63589,
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:09.968,1.032,-0.046,-0.027000000000000003,0.366,-0.42700000000000005,0.42700000000000005,-122.91,-87.006,107.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 21:04:09.973,1.006,-0.09,0.026000000000000002,0.122,0.122,0.366,-74.202,-83.271,-167.558,0.0,0.0,0.0,-0.33386,-0.5755899999999999,0.39078,-0.6359600000000001,
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:10.073,1.033,-0.049,-0.027999999999999997,-0.305,-0.61,-0.122,-124.102,-87.006,109.12700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 21:04:10.078,1.006,-0.09,0.023,-0.5489999999999999,0.183,0.5489999999999999,-73.889,-83.315,-167.94799999999998,0.0,0.0,0.0,-0.33386,-0.5755899999999999,0.39078,-0.6359600000000001,
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:10.179,1.0290000000000001,-0.043,-0.028999999999999998,-0.183,0.305,-0.305,-123.69,-87.001,108.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 21:04:10.188,1.004,-0.09300000000000001,0.021,-0.183,0.42700000000000005,1.038,-73.993,-83.304,-167.921,0.0,0.0,0.0,-0.33386,-0.5755899999999999,0.39078,-0.6359600000000001,
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:10.268,1.03,-0.040999999999999995,-0.03,-0.122,-0.42700000000000005,0.061,-123.635,-86.995,108.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:10.374,1.032,-0.040999999999999995,-0.02,-0.61,0.732,1.526,-123.679,-86.973,108.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 21:04:10.392,1.0070000000000001,-0.087,0.03,-0.42700000000000005,-0.244,1.2209999999999999,-74.141,-83.315,-167.794,0.0,0.0,0.0,-0.33453,-0.5754100000000001,0.39105,-0.63562,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 21:04:10.467,1.004,-0.09,0.025,-0.7929999999999999,0.183,0.42700000000000005,-74.191,-83.29299999999999,-167.84400000000002,0.0,0.0,0.0,-0.33453,-0.5754100000000001,0.39105,-0.63562,
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:10.479,1.026,-0.048,-0.033,-0.732,-1.2209999999999999,0.488,-123.3,-86.99,108.27600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 21:04:10.571,1.008,-0.086,0.022000000000000002,-0.6709999999999999,0.305,0.42700000000000005,-74.191,-83.37,-167.926,0.0,0.0,0.0,-0.33591,-0.57504,0.39188,-0.63474,
WT1(E604078EA627),3.88,13104, 2021-05-17 21:04:10.598,1.033,-0.044000000000000004,-0.026000000000000002,-0.9159999999999999,0.183,0.0,-124.354,-86.94,109.30799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
