设备名称,电压,版本,片上时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X,磁场Y,磁场Z,四元数0,四元数1,四元数2,四元数3,状态
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.034,1.037,-0.081,0.044000000000000004,-0.244,0.0,0.488,-84.304,-85.66,72.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.035,1.003,-0.111,-0.044000000000000004,0.0,-0.244,2.38,-105.117,-82.804,-150.139,0.0,0.0,0.0,-0.39059,-0.5415,0.4718,-0.57581,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.107,1.018,-0.067,0.0,-0.305,1.099,0.366,-81.95299999999999,-85.573,70.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.122,0.9990000000000001,-0.102,-0.045,0.061,0.122,0.61,-105.21600000000001,-82.689,-149.985,0.0,0.0,0.0,-0.39059,-0.5415,0.4718,-0.57581,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.226,1.003,-0.09,-0.036000000000000004,0.61,0.061,-0.7929999999999999,-105.54,-82.738,-149.628,0.0,0.0,0.0,-0.38879,-0.54202,0.4722,-0.57623,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.254,1.0270000000000001,-0.073,0.002,0.977,0.061,0.366,-82.31,-85.53399999999999,71.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.332,1.01,-0.11900000000000001,-0.042,-0.6709999999999999,0.42700000000000005,-1.4040000000000001,-105.93,-82.95200000000001,-149.293,0.0,0.0,0.0,-0.38879,-0.54202,0.4722,-0.57623,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.375,1.02,-0.083,0.019,-0.9159999999999999,-3.4789999999999996,-0.5489999999999999,-85.64399999999999,-85.605,74.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.423,1.034,-0.079,0.018000000000000002,0.42700000000000005,0.977,0.366,-86.501,-85.6,75.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.452,1.006,-0.08900000000000001,-0.04,0.42700000000000005,0.244,1.2209999999999999,-106.18299999999999,-83.007,-149.128,0.0,0.0,0.0,-0.3909,-0.54306,0.47118999999999994,-0.57462,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.509,1.03,-0.077,0.01,0.305,3.784,-1.3430000000000002,-83.595,-85.589,72.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.542,1.005,-0.10099999999999999,-0.042,0.244,1.2209999999999999,2.93,-105.447,-82.815,-149.815,0.0,0.0,0.0,-0.3909,-0.54306,0.47118999999999994,-0.57462,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.616,1.0,-0.102,-0.04,0.5489999999999999,0.977,0.7929999999999999,-104.93,-82.711,-150.386,0.0,0.0,0.0,-0.39005,-0.54135,0.47266,-0.57562,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.661,1.026,-0.073,0.015,0.6709999999999999,1.709,-1.038,-82.32600000000001,-85.605,71.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.722,1.001,-0.105,-0.047,0.5489999999999999,0.8540000000000001,-1.465,-104.936,-82.837,-150.375,0.0,0.0,0.0,-0.39005,-0.54135,0.47266,-0.57562,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.739,1.028,-0.08900000000000001,0.023,0.42700000000000005,-2.319,-0.8540000000000001,-84.023,-85.677,72.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.839,1.032,-0.073,0.022000000000000002,-0.244,0.42700000000000005,-0.305,-85.836,-85.73700000000001,74.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.872,1.012,-0.113,-0.035,0.0,0.5489999999999999,-0.122,-105.007,-83.035,-150.244,0.0,0.0,0.0,-0.39005,-0.54135,0.47266,-0.57562,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:04.915,1.0390000000000001,-0.07200000000000001,0.023,-0.305,0.61,0.61,-85.402,-85.721,74.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:04.918,1.002,-0.09699999999999999,-0.039,-0.305,0.244,1.953,-104.859,-82.99600000000001,-150.447,0.0,0.0,0.0,-0.39005,-0.54135,0.47266,-0.57562,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.022,1.003,-0.099,-0.048,0.305,0.0,0.5489999999999999,-104.771,-82.947,-150.672,0.0,0.0,0.0,-0.39133,-0.54193,0.47107,-0.5755,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.048,1.0290000000000001,-0.087,0.004,0.244,-1.3430000000000002,0.488,-84.54,-85.715,73.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.111,1.0070000000000001,-0.095,-0.035,0.0,0.6709999999999999,0.122,-104.859,-83.00200000000001,-150.491,0.0,0.0,0.0,-0.39133,-0.54193,0.47107,-0.5755,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.125,1.033,-0.07200000000000001,0.01,-0.122,-0.488,-0.244,-85.501,-85.73700000000001,74.28399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.218,1.005,-0.091,-0.042,-0.183,-0.122,1.2209999999999999,-104.788,-83.04,-150.529,0.0,0.0,0.0,-0.39178,-0.5419,0.47095,-0.57535,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.244,1.037,-0.078,0.012,-0.305,-0.244,1.038,-85.765,-85.73700000000001,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.319,1.031,-0.065,0.011000000000000001,-0.488,-0.42700000000000005,0.061,-84.331,-85.73700000000001,73.10300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.321,1.005,-0.102,-0.036000000000000004,-0.244,0.5489999999999999,2.319,-104.546,-82.95200000000001,-150.864,0.0,0.0,0.0,-0.39178,-0.5419,0.47095,-0.57535,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.413,1.001,-0.094,-0.039,-0.732,0.5489999999999999,0.488,-104.178,-82.925,-151.33100000000002,0.0,0.0,0.0,-0.39150999999999997,-0.54102,0.47171,-0.57571,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.455,1.0190000000000001,-0.08,0.0,-0.732,-1.77,-0.183,-84.166,-85.77600000000001,72.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.517,1.006,-0.106,-0.039,0.6709999999999999,0.42700000000000005,0.366,-104.557,-82.98,-150.809,0.0,0.0,0.0,-0.39150999999999997,-0.54102,0.47171,-0.57571,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.532,1.034,-0.066,0.016,0.732,0.183,-0.7929999999999999,-84.935,-85.77,73.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.608,1.0090000000000001,-0.10300000000000001,-0.04,0.61,0.732,1.465,-104.238,-82.925,-151.128,0.0,0.0,0.0,-0.39178,-0.54138,0.47128000000000003,-0.57553,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.665,1.028,-0.075,-0.01,0.244,1.77,0.0,-83.43,-85.765,72.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.713,1.004,-0.092,-0.032,-0.061,0.305,0.8540000000000001,-104.084,-82.881,-151.381,0.0,0.0,0.0,-0.39178,-0.54138,0.47128000000000003,-0.57553,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.785,1.028,-0.07200000000000001,-0.003,-0.5489999999999999,-0.488,0.61,-83.36399999999999,-85.75399999999999,72.14699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.817,1.003,-0.095,-0.047,-0.6709999999999999,0.366,0.977,-104.277,-82.90299999999999,-151.304,0.0,0.0,0.0,-0.39178,-0.54138,0.47128000000000003,-0.57553,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.844,1.022,-0.092,0.009000000000000001,-0.42700000000000005,0.7929999999999999,0.061,-83.875,-85.73200000000001,72.61399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:05.934,1.035,-0.083,0.017,0.488,-5.188,-1.099,-88.29700000000001,-85.73700000000001,77.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:05.939,1.001,-0.08900000000000001,-0.047,1.587,0.977,-2.93,-105.40299999999999,-83.057,-150.178,0.0,0.0,0.0,-0.39266999999999996,-0.54028,0.47293,-0.57462,
WT1(E604078EA627),3.9,13104, 2021-05-17 20:58:06.041,1.044,-0.067,0.0,0.61,-4.333,0.977,-93.428,-85.743,82.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WT2(D809BF402BC3),3.93,13103, 2021-05-17 20:58:06.046,1.004,-0.092,-0.038,2.441,0.366,-3.2960000000000003,-105.90799999999999,-83.469,-149.529,0.0,0.0,0.0,-0.39266999999999996,-0.54028,0.47293,-0.57462,
