microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
0,1.022,-0.045,-0.051,-0.305,2.686,0.916,-136.077,-85.968,127.288,3
33,1.006,-0.011,0.009,-0.183,0.122,0.732,-57.574,-87.984,120.663,3
75,1.021,-0.05,-0.048,0.61,-1.587,-0.061,-136.049,-85.963,127.31,3
138,1.013,-0.007,0.012,-0.549,0.61,-0.305,-56.552,-88.011,118.762,3
165,1.031,-0.059,-0.063,0.488,-1.038,-0.671,-136.785,-85.963,128.084,3
284,1.038,-0.041,-0.058,0.916,1.282,-0.366,-136.516,-85.957,127.815,3
393,1.011,-0.008,0.018,-0.916,0.183,1.221,-55.052,-88.006,115.291,3
420,1.035,-0.057,-0.03,-0.977,0.244,0.793,-136.379,-85.984,127.628,3
428,1.011,-0.007,0.012,0.305,0.244,1.404,-57.057,-87.94,116.708,3
509,1.039,-0.055,-0.033,0.427,-1.16,-0.244,-135.291,-86.012,126.541,3
542,1.008,-0.005,0.019,0.061,0,1.282,-57.733,-87.902,116.708,3
570,1.019,-0.042,-0.067,-0.305,0.244,0.122,-134.599,-86.05,125.87,3
617,1.01,-0.011,0.011,0.061,0.427,0.061,-57.409,-87.918,115.664,3
690,1.031,-0.043,-0.047,-0.305,0.366,0.854,-135.159,-85.99,126.42,3
723,1.013,-0.004,0.019,-0.122,0.61,0.549,-56.942,-87.946,114.56,3
779,1.044,-0.051,-0.035,0.305,0.183,0.244,-135.549,-85.979,126.782,3
812,1.011,-0.003,0.019,-0.549,0.488,0.427,-56.234,-87.935,113.253,3
885,1.027,-0.06,-0.043,-0.916,-0.549,0,-136.088,-85.99,127.271,3
917,1.013,-0.012,0.013,0.488,0.549,0.732,-55.706,-87.935,112.291,3
990,1.029,-0.046,-0.047,0.061,-0.549,0.244,-135.89,-85.99,127.079,3
1021,1.008,-0.011,0.019,-0.122,0.427,0.977,-55.36,-87.907,111.423,3
1080,1.03,-0.05,-0.057,-0.244,-0.183,-0.061,-135.813,-86.028,126.991,3
1112,1.008,-0.006,0.014,-0.061,0.183,1.038,-55.184,-87.896,110.704,3
1184,1.026,-0.04,-0.058,-0.183,0.305,0.061,-135.313,-86.039,126.491,3
1217,1.012,-0.008,0.014,-0.61,-0.061,0.061,-55.261,-87.891,110.237,3
1305,1.044,-0.048,-0.021,0.183,-0.671,0.61,-135.824,-85.963,126.98,3
1315,1.009,-0.005,0.019,-0.427,0.244,1.77,-56.069,-87.891,110.66,3
1379,1.03,-0.06,-0.063,-0.122,-0.305,0.183,-134.566,-86.039,125.711,3
1412,1.005,-0.011,0.013,-0.366,-0.366,0.549,-56.959,-87.885,111.116,3
1487,1.034,-0.045,-0.056,0.366,1.465,0.122,-134.11,-85.995,125.25,3
1503,1.015,-0.002,0.021,-0.854,-0.183,0.61,-57.233,-87.907,110.858,3
1608,1.047,-0.059,-0.025,-0.122,0.244,0.732,-134.143,-85.952,125.222,3
1610,1.01,-0.016,0.014,0,-0.366,2.197,-58.964,-87.874,112.258,3
1695,1.026,-0.053,-0.03,0.061,0.549,0.549,-132.045,-86.006,123.113,3
1712,1.006,-0.019,0.005,0.854,-0.061,3.113,-62.292,-87.742,115.554,3
1784,1.035,-0.048,-0.066,1.404,-0.977,-0.549,-128.82,-86.182,120.064,3
1803,1.008,-0.003,0.016,1.465,0.793,0.793,-63.413,-87.605,116.587,3
1889,1.038,-0.04,-0.037,0.183,-1.282,0.488,-130.578,-86.072,121.915,3
1907,1.015,-0.01,0.022,0.122,0,0,-62.32,-87.693,115.043,3
2010,1.028,-0.073,-0.05,-0.61,-1.038,-1.343,-131.995,-86.083,123.234,3
2012,1.01,-0.011,0.002,-0.427,1.221,-0.427,-60.062,-87.748,112.473,3
2099,1.083,-0.037,0.094,2.441,-1.404,-1.343,-134.264,-86.089,125.261,3
2189,1.077,-0.066,0.063,4.761,42.358,-3.174,-80.7,-87.49,71.576,3
2208,1.02,-0.053,0.027,4.639,-2.502,24.414,-68.044,-85.616,121.591,3
2298,1.01,-0.09,0.019,-1.77,0.244,25.635,-76.091,-83.232,130.166,3
2310,1.049,-0.035,0.068,0.671,43.64,1.221,-26.675,-84.419,17.584,3
2401,1.009,-0.046,0.112,1.587,38.025,-1.892,-14.579,-80.486,5.46,3
2403,0.988,-0.127,0.012,-0.244,2.991,22.644,-78.723,-80.815,134.94,3
2507,0.998,-0.155,0.033,1.404,2.014,16.296,-79.189,-78.937,138.988,3
2521,1.012,-0.024,0.183,3.296,31.799,-0.549,-10.014,-77.261,1.071,3
2601,1.002,-0.199,0.03,0.732,1.709,17.944,-79.233,-77.443,143.091,3
2685,1.016,-0.04,0.288,2.686,33.508,-0.488,-7.438,-74.344,-1.538,3
2699,1.015,-0.027,0.38,1.16,37.781,0.427,-5.878,-70.983,-3.334,3
2717,0.987,-0.222,0.038,-1.099,1.343,20.63,-79.733,-75.663,148.475,3
2793,0.969,-0.258,0.033,-0.549,1.953,23.926,-80.629,-73.389,154.479,3
2820,0.957,-0.037,0.403,2.319,41.565,-0.671,-4.587,-66.852,-4.839,3
2897,0.957,-0.295,0.036,0.488,2.502,20.752,-80.909,-71.197,159.84,3
2913,0.917,-0.032,0.429,3.296,36.316,-1.16,-3.516,-62.919,-5.922,3
3001,0.895,-0.03,0.486,4.089,25.635,-1.099,-2.692,-59.947,-6.652,3
3008,0.952,-0.315,0.039,1.587,2.441,13.489,-80.673,-69.615,164.806,3
3103,0.885,-0.022,0.565,5.432,28.015,0.549,-2,-57.31,-7.262,3
3198,0.949,-0.362,0.063,1.343,0.977,16.235,-80.008,-67.313,174.754,3
3240,0.852,0.015,0.625,2.441,35.034,0.061,-1.401,-54.086,-7.828,3
3287,0.931,-0.388,0.057,-1.343,2.93,22.644,-80.162,-65.522,179.797,3
3315,0.827,-0.014,0.693,1.282,41.26,-1.587,-0.873,-50.29,-8.712,3
3392,0.911,-0.409,0.047,-0.366,2.014,21.362,-80.442,-63.314,-175.331,3
3436,0.75,-0.009,0.664,2.136,42.297,-0.977,-0.494,-45.923,-9.289,3
3482,0.898,-0.442,0.055,1.221,1.587,15.93,-80.574,-61.589,-170.755,3
3511,0.729,-0.003,0.761,4.272,32.104,0.061,-0.17,-42.38,-9.739,3
3589,0.876,-0.47,0.073,-0.61,1.343,16.907,-80.596,-60.139,-166.251,3
3630,0.669,0.018,0.815,1.526,37.17,-0.488,0.121,-38.979,-10.206,3
3692,0.863,-0.5,0.063,-1.038,2.747,19.043,-80.788,-58.409,-161.906,3
3735,0.588,-0.005,0.864,2.258,39.124,-1.892,0.445,-35.266,-10.876,3
3824,0.56,0.026,0.86,1.953,37.903,-0.061,0.637,-31.262,-11.316,3
