microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
0,0.998,0.132,-0.089,0,0,0,123.86,-81.041,-11.091,3
59,1.021,-0.005,-0.157,0,0,0,-176.968,-81.151,-124.514,3
76,0.997,0.129,-0.088,0,0,0,123.865,-81.041,-11.096,3
88,1.017,-0.007,-0.162,0,0,-0.061,-176.946,-81.156,-124.525,3
88,1.021,-0.008,-0.156,0,0,0,-176.951,-81.14,-124.508,3
165,1.02,-0.005,-0.162,0,0.122,-0.061,-176.951,-81.156,-124.508,3
191,0.999,0.131,-0.089,0,0,0,123.876,-81.046,-11.107,3
269,1.018,-0.011,-0.157,0,0,0,-176.979,-81.145,-124.475,3
295,0.995,0.129,-0.089,0,0,0,123.876,-81.046,-11.107,3
329,1.015,-0.01,-0.164,0,-0.061,-0.244,-176.979,-81.161,-124.47,3
377,0.998,0.134,-0.089,0,0,0,123.887,-81.046,-11.118,3
482,0.999,0.127,-0.088,0,0,0,123.887,-81.046,-11.124,3
513,1.02,-0.01,-0.157,0,0.366,-0.183,-176.984,-81.145,-124.464,3
538,1.022,-0.007,-0.159,0,0.122,0,-176.968,-81.156,-124.486,3
587,0.998,0.127,-0.087,0,0,0,123.893,-81.046,-11.124,3
644,1.02,-0.008,-0.158,-0.061,-0.183,-0.061,-176.984,-81.151,-124.481,3
718,1.019,-0.009,-0.159,0,0,0.061,-176.962,-81.156,-124.514,3
781,0.996,0.128,-0.088,0,0,0,123.893,-81.052,-11.129,3
824,1.017,-0.009,-0.161,0,-0.122,-0.122,-176.962,-81.156,-124.514,3
871,1,0.133,-0.089,0,0,0,123.904,-81.052,-11.129,3
929,1.017,-0.012,-0.157,0.061,0.244,0.061,-176.951,-81.156,-124.525,3
976,0.996,0.128,-0.087,0,0,0,123.909,-81.052,-11.135,3
1032,1.019,-0.006,-0.163,0,0,-0.061,-176.94,-81.161,-124.53,3
1066,0.996,0.128,-0.087,0,0,0,123.915,-81.052,-11.14,3
1139,1.018,-0.011,-0.157,0,-0.061,-0.244,-176.957,-81.156,-124.53,3
1171,0.999,0.132,-0.088,0,0,0,123.915,-81.052,-11.14,3
1228,1.017,-0.011,-0.161,0,0.061,0.061,-176.94,-81.161,-124.552,3
1261,0.998,0.128,-0.088,0,0,0,123.92,-81.057,-11.146,3
1334,1.02,-0.01,-0.157,0,0,0.183,-176.929,-81.156,-124.557,3
1367,0.998,0.132,-0.089,0,0,0,123.926,-81.052,-11.151,3
1454,1.019,-0.009,-0.162,0,0.061,0,-176.94,-81.161,-124.541,3
1484,0.997,0.129,-0.088,0,0,0,123.931,-81.057,-11.162,3
1529,1.018,-0.012,-0.158,0,0,-0.061,-176.962,-81.156,-124.525,3
1561,0.999,0.13,-0.087,0,0,0,123.926,-81.057,-11.151,3
1666,0.998,0.128,-0.089,0,0,0,123.931,-81.057,-11.162,3
1693,1.018,-0.01,-0.161,0.061,0.244,0,-176.946,-81.161,-124.525,3
1739,1.019,-0.01,-0.158,0,-0.122,0.122,-176.935,-81.156,-124.541,3
1757,0.999,0.132,-0.087,0,0,0,123.931,-81.057,-11.162,3
1844,1.019,-0.006,-0.161,-0.061,-0.122,-0.122,-176.929,-81.161,-124.541,3
1871,0.998,0.128,-0.087,0,0,0,123.937,-81.057,-11.162,3
1934,0.99,-0.001,-0.133,-1.77,-1.343,-0.122,-176.973,-81.151,-124.508,3
1966,0.987,0.122,-0.082,-1.587,-1.038,-14.099,123.36,-80.903,-10.673,3
2056,1,0.239,-0.102,-1.16,-2.502,-29.419,117.416,-78.635,-4.675,3
2143,1.065,-0.016,-0.105,4.15,42.297,3.418,-175.556,-82.623,-126.189,3
2154,1.064,-0.028,-0.021,1.282,27.222,1.648,-168.069,-86.039,-133.561,3
2165,0.988,0.235,-0.094,-1.099,-2.991,-33.875,112.407,-75.493,-0.016,3
2251,0.967,0.318,-0.104,-2.319,-3.845,-39.856,108.715,-71.713,3.208,3
