microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
0,1.034,0.091,-0.012,-2.502,0.488,1.282,94.356,-84.672,126.008,3
47,0.996,0.128,-0.142,1.465,0.427,-0.61,142.575,-79.393,-28.861,3
78,1.026,0.095,-0.01,-1.526,-0.122,1.038,94.455,-84.705,125.876,3
156,0.985,0.131,-0.141,-0.61,-0.549,-0.061,142.427,-79.365,-28.652,3
172,1.024,0.096,-0.014,-2.93,-0.061,1.404,94.675,-84.738,125.651,3
281,1.024,0.101,-0.004,-1.892,-0.977,-0.488,95.592,-84.716,124.728,3
344,0.994,0.122,-0.146,-1.77,0.305,0.061,141.806,-79.299,-28.087,3
375,1.025,0.096,-0.006,-1.282,0,-0.061,95.922,-84.661,124.382,3
438,0.993,0.119,-0.146,2.258,1.831,-0.061,141.603,-79.393,-27.828,3
485,1.025,0.101,-0.011,0.122,0.916,-1.099,95.279,-84.534,125.129,3
547,0.99,0.118,-0.144,0.427,1.587,0.366,141.328,-79.547,-27.515,3
672,0.996,0.128,-0.139,3.479,0.366,-1.77,140.9,-79.568,-26.884,3
672,1.023,0.089,-0.017,0.122,0.183,-1.038,94.878,-84.408,125.535,3
703,1.038,0.1,-0.013,0.061,-0.854,2.502,96.108,-84.463,124.536,3
734,0.995,0.131,-0.142,1.648,-2.014,-1.404,141.037,-79.343,-26.873,3
781,1.04,0.103,-0.009,-0.183,-0.427,2.136,97.224,-84.661,123.492,3
844,1,0.129,-0.132,-1.709,-2.014,0.793,141.432,-79.2,-27.307,3
891,1.02,0.115,-0.015,-1.892,0.61,1.465,96.779,-84.798,123.832,3
938,0.988,0.133,-0.143,-1.709,0.366,0.549,141.866,-79.2,-27.905,3
1000,1.023,0.094,-0.017,-0.61,-0.305,-1.709,96.531,-84.688,123.931,3
1047,0.99,0.114,-0.142,-2.258,0.366,0.122,141.422,-79.294,-27.603,3
1094,1.023,0.097,-0.008,-3.662,-0.061,-0.977,96.465,-84.611,123.805,3
1156,0.982,0.117,-0.162,0.122,1.587,0,141.323,-79.343,-27.691,3
1187,1.034,0.079,-0.013,-0.244,0.488,-1.038,96.174,-84.501,124.047,3
1234,0.996,0.109,-0.151,2.563,1.038,-0.305,141.147,-79.437,-27.444,3
1297,1.033,0.086,-0.011,-0.549,0.977,0.549,95.828,-84.496,124.53,3
1344,0.996,0.122,-0.148,1.343,-0.916,0,141.498,-79.415,-27.702,3
1406,1.022,0.114,-0.018,-0.549,0,-0.793,95.85,-84.6,124.585,3
1437,0.994,0.103,-0.147,3.235,1.587,-1.465,141.46,-79.398,-27.592,3
1500,1.024,0.089,-0.009,-0.305,-0.854,2.014,96.685,-84.507,123.948,3
1531,0.997,0.101,-0.149,-0.366,-1.709,-0.977,141.07,-79.321,-27.07,3
1594,1.033,0.109,-0.013,-3.601,-0.305,2.197,97.718,-84.666,122.86,3
1640,1,0.106,-0.154,-2.747,-0.488,0.305,141.18,-79.178,-27.29,3
1703,1.027,0.092,-0.009,-0.61,0.793,-0.061,97.63,-84.556,123.074,3
1812,1.025,0.096,-0.021,-1.587,0,0.366,97.081,-84.567,123.58,3
1828,0.993,0.11,-0.151,-1.404,-0.244,-0.122,141.048,-79.288,-27.037,3
1890,1.024,0.101,-0.015,-2.197,-1.038,0.305,98.075,-84.578,122.558,3
1937,0.998,0.102,-0.152,-1.099,0.122,-1.038,140.641,-79.222,-26.653,3
2015,1.024,0.099,-0.008,-0.061,-0.244,1.587,98.882,-84.6,121.756,3
2031,0.989,0.109,-0.158,1.892,0.427,-0.488,140.504,-79.167,-26.455,3
2109,1.027,0.106,-0.018,-1.587,0.732,-0.671,98.481,-84.54,122.278,3
2125,0.997,0.105,-0.145,0,1.221,0.305,140.35,-79.255,-26.252,3
2219,1.024,0.099,-0.024,0.427,-0.488,-1.77,98.525,-84.348,122.327,3
2219,0.989,0.117,-0.148,0.244,2.319,-1.038,139.504,-79.382,-25.307,3
2312,0.99,0.137,-0.136,-1.16,-1.221,0.122,138.658,-79.371,-24.274,3
2390,1.026,0.093,-0.005,3.296,-0.427,0.305,99.695,-84.21,121.377,3
