microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
0,1.043,0.017,0.178,8.24,3.174,2.136,-23.379,-80.793,24.175,3
2,1.057,-0.069,0.034,4.883,-1.282,3.54,-50.147,-87.094,-161.785,3
106,0.992,-0.058,0.162,-4.761,8.301,-0.61,-20.775,-80.107,21.237,3
108,0.985,-0.062,0.028,-5.249,0.305,6.836,-55.228,-86.556,-163.12,3
199,0.992,-0.06,0.018,-1.648,0.427,2.441,-57.914,-86.111,-166.476,3
224,0.997,-0.088,0.131,-1.099,4.395,-1.16,-18.82,-79.47,19.061,3
301,0.997,-0.054,0.025,2.563,-1.709,-5.676,-58.683,-86.38,-171.282,3
314,1.004,-0.063,0.141,1.526,-5.798,1.953,-20.435,-79.7,20.797,3
406,1.017,-0.066,0.03,0.122,-1.709,-5.615,-53.718,-87.034,178.341,3
434,1.018,-0.062,0.172,-0.427,-10.437,1.648,-22.945,-80.475,23.351,3
497,1.025,-0.046,0.034,0,-1.404,1.16,-51.79,-87.281,171.189,3
517,1.027,-0.042,0.176,3.357,1.099,1.526,-23.769,-80.733,23.813,3
614,1.014,-0.078,0.155,-1.404,4.333,-0.793,-22.544,-80.442,22.192,3
619,1.005,-0.048,0.02,-1.892,1.038,3.357,-54.673,-87.039,168.723,3
691,0.998,-0.052,0.022,-0.671,-0.183,0.549,-57.118,-86.83,166.207,3
704,1.008,-0.067,0.139,-0.366,0.061,0.183,-21.857,-80.134,21.357,3
797,0.997,-0.048,0.012,2.197,-0.122,-3.113,-56.843,-86.968,161.329,3
838,1.013,-0.072,0.158,2.441,-3.54,0.366,-22.687,-80.354,22.17,3
902,1.014,-0.058,0.049,0.366,-0.183,1.16,-53.795,-87.138,153.979,3
1033,1.007,-0.047,0.213,-0.305,-6.226,0.305,-23.291,-80.695,22.813,3
1037,1.042,-0.058,0.265,0.183,23.438,0.61,-21.341,-79.7,20.16,3
1100,1.029,-0.112,0.018,-3.357,0.977,30.701,-75.361,-83.727,167.217,3
1109,1.015,-0.062,0.216,0.366,31.799,-2.563,-15.897,-76.827,14.354,3
1188,0.972,-0.14,0.036,-2.014,1.282,28.809,-79.371,-80.673,167.228,3
1215,0.999,-0.086,0.211,-0.366,24.902,-0.854,-12.332,-74.059,10.953,3
1291,0.997,-0.182,0.008,0.427,-0.244,19.531,-82.079,-78.453,166.827,3
1320,0.991,-0.067,0.297,3.235,14.404,1.16,-11.42,-72.268,10.47,3
1397,0.992,-0.21,0.035,-1.221,1.831,17.7,-82.826,-76.558,164.262,3
1425,0.986,-0.057,0.315,0,14.709,-0.854,-10.574,-71.016,9.904,3
1544,0.964,-0.065,0.384,1.343,18.188,0,-9.794,-69.758,9.212,3
1595,0.972,-0.298,0.02,-1.709,2.502,21.79,-83.474,-72.686,162.131,3
1650,0.962,-0.072,0.412,0.671,20.813,-0.671,-8.855,-67.709,8.306,3
1740,0.943,-0.05,0.421,-1.16,22.339,-0.244,-7.745,-65.275,7.284,3
1744,0.953,-0.354,0.041,-0.488,3.357,27.771,-83.831,-70.131,164.284,3
1787,0.935,-0.364,0.024,-2.319,1.892,26.306,-84.243,-67.396,168.448,3
1814,0.925,-0.064,0.429,1.526,23.01,-0.793,-6.998,-62.82,6.658,3
1893,0.915,-0.418,0.033,-1.648,0.671,22.888,-84.518,-64.984,173.177,3
1950,0.898,-0.059,0.477,0.549,19.104,-0.793,-6.432,-60.881,6.323,3
1998,0.903,-0.434,0.038,1.099,-1.099,25.452,-84.644,-62.88,177.924,3
2039,0.891,-0.052,0.509,0.977,18.25,0.122,-5.955,-59.052,6.092,3
2086,0.892,-0.496,0.042,-0.427,1.648,18.127,-84.875,-60.837,-177.094,3
2145,0.874,-0.058,0.569,1.709,15.869,-0.061,-5.543,-57.437,5.795,3
2178,0.885,-0.531,0.036,-1.648,1.282,20.325,-85.172,-58.749,-172.156,3
2249,0.86,-0.05,0.591,1.831,17.456,-0.732,-5.158,-55.569,5.488,3
2282,0.866,-0.556,0.035,-1.526,0,25.208,-85.512,-56.497,-167.47,3
2369,0.834,-0.042,0.621,0,23.987,0.305,-4.752,-53.438,5.114,3
2388,0.832,-0.579,0.038,-2.563,2.075,23.315,-85.71,-54.025,-163.136,3
2445,0.8,-0.054,0.651,1.404,21.179,-1.099,-4.384,-51.257,4.735,3
2508,0.823,-0.634,0.045,-0.977,-0.61,29.053,-85.935,-51.586,-159.044,3
2534,0.774,-0.048,0.672,0.122,21.179,-0.427,-4.081,-49.065,4.477,3
2583,0.781,-0.662,0.044,-1.953,-0.671,28.809,-86.292,-49.054,-154.907,3
2654,0.743,-0.056,0.711,-0.427,20.447,-0.793,-3.774,-46.906,4.109,3
2672,0.736,-0.685,0.037,-3.052,0.488,24.597,-86.622,-46.571,-151.035,3
2744,0.749,-0.047,0.728,-0.427,23.193,-0.183,-3.604,-44.604,3.752,3
2807,0.706,-0.717,0.04,-3.052,0.671,23.56,-87.017,-44.127,-147.371,3
2849,0.689,-0.042,0.74,1.038,20.752,-2.563,-3.307,-42.369,3.312,3
2867,0.66,-0.733,0.018,-2.258,1.404,24.414,-87.198,-41.786,-144.042,3
2957,0.667,-0.064,0.767,2.075,21.729,1.16,-3.12,-40.155,3.027,3
2971,0.656,-0.768,0.035,-1.099,-1.465,20.874,-87.462,-39.567,-140.746,3
3044,0.636,-0.025,0.816,0.916,18.188,0.366,-3.043,-38.331,2.999,3
3080,0.619,-0.79,0.044,-2.93,-0.061,20.325,-87.704,-37.579,-137.466,3
3195,0.609,-0.05,0.835,0.122,13.855,-2.563,-2.884,-36.628,2.653,3
3255,0.587,-0.069,0.833,0.122,17.517,-0.793,-2.719,-34.777,2.247,3
3272,0.55,-0.817,0.016,-1.099,-0.549,20.447,-88.105,-33.843,-132.05,3
3344,0.57,-0.027,0.859,0.854,18.616,2.014,-2.659,-32.794,2.164,3
3362,0.539,-0.844,0.03,-0.671,-2.014,21.423,-88.358,-31.811,-129.216,3
3465,0.528,-0.032,0.9,-0.122,23.01,-0.977,-2.488,-30.679,1.868,3
3481,0.523,-0.878,0.023,-2.747,-0.916,22.461,-88.671,-29.663,-126.601,3
3557,0.497,-0.04,0.877,1.282,26.367,-1.282,-2.263,-28.229,1.39,3
3561,0.48,-0.889,0.016,-2.747,1.221,23.621,-88.863,-27.224,-124.415,3
3644,0.453,-0.04,0.887,1.465,26.123,-0.244,-2.126,-25.851,1,3
3661,0.435,-0.909,0.01,-2.563,0.122,22.949,-89.061,-24.829,-122.272,3
3748,0.424,-0.035,0.917,1.099,18.555,0.366,-2.082,-23.868,0.758,3
3766,0.393,-0.915,0.005,-0.977,-0.793,20.081,-89.291,-22.846,-120.179,3
3857,0.373,-0.94,0.001,-1.465,-0.061,19.409,-89.495,-20.945,-118.158,3
3868,0.397,-0.029,0.944,0.549,18.066,0.122,-2.005,-22.006,0.505,3
