microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
,,,,,,,,,,
0,1.037,-0.081,0.044,-0.244,0,0.488,-84.304,-85.66,72.933,3
1,1.003,-0.111,-0.044,0,-0.244,2.38,-105.117,-82.804,-150.139,3
73,1.018,-0.067,0,-0.305,1.099,0.366,-81.953,-85.573,70.587,3
88,0.999,-0.102,-0.045,0.061,0.122,0.61,-105.216,-82.689,-149.985,3
192,1.003,-0.09,-0.036,0.61,0.061,-0.793,-105.54,-82.738,-149.628,3
220,1.027,-0.073,0.002,0.977,0.061,0.366,-82.31,-85.534,71.005,3
298,1.01,-0.119,-0.042,-0.671,0.427,-1.404,-105.93,-82.952,-149.293,3
341,1.02,-0.083,0.019,-0.916,-3.479,-0.549,-85.644,-85.605,74.416,3
389,1.034,-0.079,0.018,0.427,0.977,0.366,-86.501,-85.6,75.207,3
418,1.006,-0.089,-0.04,0.427,0.244,1.221,-106.183,-83.007,-149.128,3
475,1.03,-0.077,0.01,0.305,3.784,-1.343,-83.595,-85.589,72.274,3
508,1.005,-0.101,-0.042,0.244,1.221,2.93,-105.447,-82.815,-149.815,3
582,1,-0.102,-0.04,0.549,0.977,0.793,-104.93,-82.711,-150.386,3
627,1.026,-0.073,0.015,0.671,1.709,-1.038,-82.326,-85.605,71.027,3
688,1.001,-0.105,-0.047,0.549,0.854,-1.465,-104.936,-82.837,-150.375,3
705,1.028,-0.089,0.023,0.427,-2.319,-0.854,-84.023,-85.677,72.751,3
805,1.032,-0.073,0.022,-0.244,0.427,-0.305,-85.836,-85.737,74.586,3
838,1.012,-0.113,-0.035,0,0.549,-0.122,-105.007,-83.035,-150.244,3
881,1.039,-0.072,0.023,-0.305,0.61,0.61,-85.402,-85.721,74.158,3
884,1.002,-0.097,-0.039,-0.305,0.244,1.953,-104.859,-82.996,-150.447,3
988,1.003,-0.099,-0.048,0.305,0,0.549,-104.771,-82.947,-150.672,3
1014,1.029,-0.087,0.004,0.244,-1.343,0.488,-84.54,-85.715,73.306,3
1077,1.007,-0.095,-0.035,0,0.671,0.122,-104.859,-83.002,-150.491,3
1091,1.033,-0.072,0.01,-0.122,-0.488,-0.244,-85.501,-85.737,74.284,3
1184,1.005,-0.091,-0.042,-0.183,-0.122,1.221,-104.788,-83.04,-150.529,3
1210,1.037,-0.078,0.012,-0.305,-0.244,1.038,-85.765,-85.737,74.52,3
1285,1.031,-0.065,0.011,-0.488,-0.427,0.061,-84.331,-85.737,73.103,3
1287,1.005,-0.102,-0.036,-0.244,0.549,2.319,-104.546,-82.952,-150.864,3
1379,1.001,-0.094,-0.039,-0.732,0.549,0.488,-104.178,-82.925,-151.331,3
1421,1.019,-0.08,0,-0.732,-1.77,-0.183,-84.166,-85.776,72.96,3
1483,1.006,-0.106,-0.039,0.671,0.427,0.366,-104.557,-82.98,-150.809,3
1498,1.034,-0.066,0.016,0.732,0.183,-0.793,-84.935,-85.77,73.735,3
1574,1.009,-0.103,-0.04,0.61,0.732,1.465,-104.238,-82.925,-151.128,3
1631,1.028,-0.075,-0.01,0.244,1.77,0,-83.43,-85.765,72.197,3
1679,1.004,-0.092,-0.032,-0.061,0.305,0.854,-104.084,-82.881,-151.381,3
1751,1.028,-0.072,-0.003,-0.549,-0.488,0.61,-83.364,-85.754,72.147,3
1783,1.003,-0.095,-0.047,-0.671,0.366,0.977,-104.277,-82.903,-151.304,3
1810,1.022,-0.092,0.009,-0.427,0.793,0.061,-83.875,-85.732,72.614,3
1900,1.035,-0.083,0.017,0.488,-5.188,-1.099,-88.297,-85.737,77.146,3
1905,1.001,-0.089,-0.047,1.587,0.977,-2.93,-105.403,-83.057,-150.178,3
2007,1.044,-0.067,0,0.61,-4.333,0.977,-93.428,-85.743,82.397,3
2012,1.004,-0.092,-0.038,2.441,0.366,-3.296,-105.908,-83.469,-149.529,3
2068,1.015,-0.078,-0.021,-1.099,0.183,0.793,-106.551,-83.721,-149.172,3
2126,1.053,-0.074,0.021,-2.502,2.686,0.061,-94.296,-85.765,83.177,3
2172,1.014,-0.088,-0.048,-1.343,0.732,6.287,-105.837,-83.43,-150.408,3
2215,1.028,-0.066,0.01,-0.305,6.409,0.061,-87.424,-85.759,76.086,3
2294,1.001,-0.11,-0.052,0.183,1.16,5.066,-104.365,-82.864,-151.859,3
2305,1.016,-0.073,-0.012,0.366,2.93,0,-80.914,-85.754,69.587,3
2369,0.993,-0.119,-0.049,-0.671,0.488,0.305,-103.689,-82.628,-152.303,3
2427,1.013,-0.088,-0.007,0.732,-1.77,-0.732,-80.98,-85.754,69.653,3
2472,0.995,-0.121,-0.05,5.493,1.953,-5.31,-103.92,-82.864,-151.644,3
2534,1.045,-0.046,-0.002,-0.244,-6.47,2.441,-87.748,-85.897,76.745,3
2563,1.025,-0.083,-0.026,-0.916,0.305,-0.305,-104.321,-83.337,-151.534,3
2605,1.04,-0.078,0.03,1.038,6.531,-0.061,-88.599,-85.952,77.437,3
2671,1.027,-0.07,-0.029,-2.991,-1.221,6.104,-103.678,-83.035,-152.622,3
2741,1.026,-0.065,0.007,0.305,2.075,-0.305,-82.452,-85.875,71.307,3
2774,0.994,-0.099,-0.026,-1.831,0.427,2.441,-102.98,-82.7,-153.21,3
2815,1.017,-0.083,-0.007,-0.671,-3.113,-0.488,-81.804,-85.864,70.626,3
2969,1.036,-0.188,-0.048,0.549,0.793,28.015,-101.893,-82.09,-153.397,3
3074,1.007,-0.172,-0.021,0.916,4.211,49.194,-96.328,-78.371,-157.566,3
3086,1.026,-0.057,0.061,-1.465,-3.296,-0.793,-85.523,-85.941,74.251,3
3160,1.097,-0.074,0.209,4.639,44.25,-1.77,-70.889,-85.831,58.793,3
