microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
0,1.028,-0.009,0.036,-1.038,-2.075,1.282,-19.078,-87.902,-103.008,0
46,0.988,-0.179,0.166,1.404,-0.366,-0.61,-48.455,-76.113,-162.372,0
90,1.038,-0.011,0.042,1.648,-1.343,0.916,-23.368,-88.028,-98.558,0
136,0.971,-0.224,0.165,1.77,-0.122,-0.61,-48.411,-76.168,-162.318,0
179,1.039,0.003,0.041,0.366,-1.221,0,-25.79,-88.165,-95.9,0
241,0.977,-0.219,0.164,-3.357,0.732,-0.366,-48.307,-76.168,-162.598,0
284,1.029,-0.005,0.035,-0.061,0.488,-0.122,-26.115,-88.143,-95.663,0
331,0.983,-0.161,0.161,2.808,-0.305,0,-48.065,-76.168,-162.74,0
419,1.041,-0.023,0.057,5.066,8.85,-0.061,-21.138,-87.869,-100.223,0
436,0.977,-0.205,0.158,2.991,1.038,1.587,-47.554,-76.086,-162.675,0
494,1.039,-0.026,0.046,1.404,16.113,0.488,-13.716,-86.808,-107.166,0
527,0.984,-0.172,0.167,17.639,-0.427,5.554,-46.741,-75.8,-162.477,0
599,1.05,-0.046,0.177,0.732,11.475,2.197,-9.717,-85.04,-110.297,0
632,0.969,-0.203,0.177,12.39,-0.671,12.573,-49.103,-74.998,-159.362,0
689,1.04,-0.017,0.126,7.568,14.648,0.916,-7.311,-83.496,-111.703,0
736,0.97,-0.227,0.186,5.188,-0.183,12.695,-51.696,-73.982,-156.099,0
793,1.036,0.006,0.09,4.395,11.475,0.977,-6.658,-82.716,-111.671,0
827,0.964,-0.244,0.183,1.587,-1.099,9.827,-53.465,-73.169,-153.572,0
899,0.996,-0.003,0.047,3.113,15.808,0.916,-5.922,-81.738,-111.714,0
946,0.971,-0.245,0.184,5.676,-1.099,9.583,-54.657,-72.554,-151.743,0
1005,1.023,-0.054,0.172,4.761,7.935,1.77,-5.361,-80.733,-111.632,0
1022,0.968,-0.267,0.176,5.005,-0.427,8.667,-56.052,-71.867,-149.771,0
1094,0.998,-0.008,0.149,1.953,11.23,1.404,-5.109,-79.865,-111.561,0
1126,0.951,-0.279,0.18,7.141,-0.61,6.836,-56.909,-71.329,-148.409,0
1199,1.01,-0.04,0.186,2.991,8.789,0.61,-4.114,-78.997,-112.104,0
1232,0.959,-0.325,0.17,6.104,-0.427,6.897,-57.601,-70.818,-147.217,0
1304,1.019,-0.045,0.227,10.62,7.69,0.732,-3.84,-78.272,-112.033,0
1337,0.96,-0.352,0.154,7.996,-0.732,9.216,-58.716,-70.17,-145.717,0
1424,1.02,-0.027,0.266,8.118,6.531,1.709,-3.785,-77.41,-111.561,0
1437,0.946,-0.328,0.182,5.188,-1.099,9.644,-59.925,-69.412,-143.998,0
1499,1.01,-0.005,0.249,2.075,11.658,-0.122,-2.988,-76.426,-111.643,0
1516,0.944,-0.297,0.176,3.723,0.183,8.057,-60.661,-68.714,-142.789,0
1603,1.004,-0.019,0.26,-0.061,7.507,0.183,-2.324,-75.602,-111.956,0
1621,0.933,-0.307,0.158,2.258,-0.061,8.057,-61.337,-68.033,-141.735,0
1723,0.99,-0.038,0.246,-4.089,14.404,1.77,-2.384,-74.839,-111.616,0
1732,0.93,-0.388,0.175,-0.732,-2.075,5.676,-62.012,-67.588,-140.647,0
1799,0.974,-0.035,0.246,-4.395,6.47,2.38,-2.461,-74.037,-111.033,0
1904,1.003,-0.041,0.307,6.775,4.639,2.319,-3.159,-73.279,-110.435,0
1929,0.938,-0.373,0.184,4.517,-0.061,3.296,-63.743,-66.786,-138.301,0
2009,0.98,-0.01,0.303,1.282,-0.122,-1.709,-1.956,-72.999,-110.429,0
2023,0.918,-0.352,0.17,1.282,2.014,0.061,-63.029,-66.687,-138.29,0
2114,0.985,0.04,0.211,5.859,-6.836,-3.296,-0.703,-73.729,-111.665,0
2125,0.932,-0.367,0.213,-2.991,3.723,-5.981,-61.859,-66.775,-139.257,0
2219,0.981,-0.011,0.205,0.183,-20.874,-2.502,-0.066,-75.449,-112.626,0
2235,0.924,-0.354,0.193,0.305,2.93,-7.385,-60.656,-67.17,-140.669,0
2309,1.021,0.014,0.218,3.967,-23.438,-2.625,0.291,-77.52,-113.445,0
2414,1.032,0.046,0.265,-0.793,-21.179,-0.854,1.615,-78.909,-114.884,0
2424,0.961,-0.325,0.239,-1.77,1.892,-14.954,-57.008,-68.835,-144.86,0
2507,0.97,-0.267,0.222,-3.357,1.892,-15.625,-54.717,-69.955,-147.706,0
2520,1.037,-0.023,0.202,-1.831,-15.32,-1.892,2.571,-80.42,-116.576,0
2613,0.934,-0.128,0.178,5.066,2.319,-19.775,-51.262,-71.29,-151.293,0
2630,0.999,0.037,0.091,-0.366,-8.118,-4.272,4.664,-82.447,-118.839,0
2701,0.96,-0.214,0.205,0,3.601,-18.25,-47.06,-72.515,-156.044,0
2714,0.995,0.048,-0.013,-7.263,-11.23,-4.089,8.745,-84.139,-123.42,0
2806,0.949,-0.248,0.224,-4.272,3.723,-15.259,-43.868,-73.295,-160.439,0
2834,1.014,-0.004,0.052,-9.399,-26.794,-2.136,14.908,-86.396,-131.166,0
2897,0.961,-0.238,0.208,-10.498,3.967,-12.573,-40.529,-73.922,-164.866,0
