microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
0,1.023,0.044,-0.084,-1.587,0.305,1.038,164.976,-85.54,78.289,1
50,0.978,-0.235,0.064,-0.61,-0.854,0.061,-73.856,-75.465,-143.031,1
93,1.027,0.032,-0.074,0.061,-0.549,0.183,165.13,-85.583,78.102,1
156,0.978,-0.233,0.058,0,-0.488,1.343,-74.141,-75.405,-142.377,1
197,1.032,0.033,-0.067,0.549,1.404,0.244,164.828,-85.627,78.475,1
246,0.982,-0.237,0.05,-4.578,-0.061,2.258,-74.323,-75.3,-141.943,1
303,1.039,0.024,-0.069,6.47,1.526,-1.526,163.273,-85.77,80.063,1
366,0.965,-0.211,0.072,-1.526,0,2.014,-74.284,-75.141,-141.416,1
402,1.034,0.026,-0.063,4.761,2.441,-0.793,162.213,-85.919,81.211,1
440,0.975,-0.252,0.07,4.211,-0.366,1.953,-74.399,-74.987,-140.757,1
528,1.031,0.014,-0.069,3.418,1.77,-0.916,160.659,-86.094,82.963,1
545,0.972,-0.261,0.068,7.935,-0.061,0.916,-74.229,-74.855,-140.35,1
604,1.032,0.039,-0.06,5.493,2.502,-1.831,157.56,-86.243,86.572,1
651,0.979,-0.246,0.069,5.676,0.122,2.075,-73.883,-74.713,-139.905,1
723,1.032,0.04,-0.052,3.967,2.38,-0.854,154.589,-86.429,89.89,1
798,1.045,0.022,-0.011,0.061,7.324,0.427,148.678,-86.973,96.224,1
846,0.973,-0.293,0.07,5.371,-0.061,4.456,-72.636,-74.284,-139.713,1
903,1.01,0.041,-0.066,5.859,14.771,-0.061,132.308,-87.836,113.137,1
935,0.978,-0.29,0.068,0.549,0.977,6.897,-72.883,-73.823,-138.823,1
1008,1.006,0.06,-0.063,4.761,12.634,0.061,102.09,-88.259,144.031,1
1040,0.953,-0.288,0.064,3.052,-0.671,6.714,-73.213,-73.422,-138.115,1
1112,1.046,0.019,0.046,16.724,9.094,-2.197,69.62,-88.022,177.402,1
1144,0.965,-0.264,0.087,13.733,-1.16,5.371,-73.295,-72.867,-136.934,1
1202,1.033,0.066,0.002,16.541,18.311,-3.174,49.883,-87.303,-161.84,1
1235,0.947,-0.36,0.081,10.071,-0.183,7.751,-73.46,-72.136,-135.884,1
1307,1.013,0.038,0.01,8.423,6.409,-1.404,39.628,-86.391,-150.793,1
1339,0.965,-0.337,0.086,5.981,-1.648,12.939,-74.427,-70.983,-134.203,1
1413,1.021,0.047,0.05,10.742,6.531,-0.732,35.431,-85.77,-145.876,1
1445,0.956,-0.322,0.075,7.507,-2.686,9.827,-74.855,-70.175,-132.88,1
1517,1.028,0.021,0.071,9.155,4.456,-0.244,32.849,-85.243,-142.707,1
1537,0.958,-0.311,0.076,8.85,-2.38,6.47,-75.306,-69.587,-131.71,1
1608,1.042,0.041,0.081,8.972,3.906,-0.671,30.619,-84.886,-140.103,1
1635,0.951,-0.332,0.096,12.573,-1.709,3.906,-75.608,-69.137,-130.726,1
1713,1.009,0.083,0.058,2.869,5.798,0.488,28.597,-84.452,-137.422,1
1743,0.951,-0.352,0.098,-0.366,-0.977,6.348,-75.938,-68.714,-129.688,1
1819,1.021,0.072,0.067,0.793,4.456,0.244,26.906,-84.045,-135.527,1
1845,0.946,-0.359,0.09,0.793,-0.793,5.249,-76.437,-68.143,-128.842,1
1926,0.929,-0.374,0.093,6.409,-0.488,3.113,-76.328,-67.78,-128.298,1
1944,1.01,0.058,0.073,4.333,0.61,-1.16,27.191,-83.798,-135.522,1
2013,1.021,0.034,0.086,2.686,0.61,-0.488,28.18,-83.837,-136.472,1
2030,0.933,-0.374,0.085,0.854,-0.061,1.404,-76.234,-67.626,-128.09,1
2118,1.03,0.052,0.103,2.38,2.197,0.427,27.477,-83.793,-135.84,1
2144,0.933,-0.36,0.083,-0.488,-0.854,1.831,-76.366,-67.516,-127.798,1
2223,1.016,0.052,0.091,3.906,4.517,0.305,25.807,-83.639,-134.198,1
2239,0.929,-0.353,0.087,1.343,-1.892,3.113,-76.761,-67.286,-127.211,1
2328,1.042,0.067,0.152,4.028,4.761,-0.549,24.318,-83.035,-132.352,1
2346,0.941,-0.398,0.097,2.991,-1.465,5.859,-76.932,-66.912,-126.546,1
2418,1.02,0.042,0.135,-0.061,6.042,0.671,21.451,-82.31,-129.545,1
2432,0.927,-0.416,0.082,1.465,-1.77,9.399,-77.69,-66.149,-125.585,1
2511,0.907,-0.354,0.093,3.296,-1.404,8.118,-78.278,-65.396,-124.711,1
2522,1.02,0.099,0.172,6.592,13.428,-0.488,23.055,-81.2,-128.919,1
2616,0.924,-0.396,0.076,7.263,-1.77,8.24,-79.146,-64.589,-123.816,1
2633,1.021,0.099,0.15,5.615,11.536,-0.549,20.934,-80.173,-126.766,1
2720,0.899,-0.426,0.069,6.653,-2.075,10.132,-80.299,-63.567,-122.855,1
2737,1.006,0.095,0.176,-1.953,8.606,0.854,17.968,-79.409,-124.398,1
2811,0.91,-0.442,0.081,-6.775,-0.244,8.484,-80.87,-62.666,-122.108,1
2837,1.021,0.102,0.189,-5.798,7.813,0,16.188,-78.613,-122.844,1
2916,0.905,-0.459,0.075,4.822,-0.366,7.935,-81.425,-61.831,-121.487,1
2934,1.031,0.088,0.223,-2.136,4.395,-0.366,15.337,-77.893,-121.998,1
3020,0.867,-0.484,0.065,8.789,-1.038,7.019,-81.491,-61.089,-120.91,1
3036,1,0.08,0.213,2.441,5.31,0.122,14.908,-77.355,-121.432,1
3138,1.005,0.091,0.257,1.16,5.31,-0.977,14.903,-76.723,-121.091,1
3215,0.882,-0.52,0.073,7.202,-1.648,9.521,-81.387,-59.678,-119.674,1
3233,1,0.054,0.245,-1.648,9.705,-0.305,14.848,-75.811,-120.63,1
3306,0.873,-0.502,0.072,3.601,-1.953,10.071,-81.563,-58.755,-118.872,1
3337,1.001,0.079,0.268,3.357,12.085,-0.305,14.293,-75.048,-119.85,1
3412,0.852,-0.545,0.063,2.808,-2.869,12.146,-81.931,-57.794,-118.026,1
3453,0.992,0.066,0.269,3.052,14.465,0.916,13.343,-73.911,-118.603,1
3500,0.853,-0.521,0.067,2.258,-3.418,11.841,-82.365,-56.755,-117.136,1
3528,0.984,0.053,0.297,3.296,16.113,0.977,12.266,-72.609,-117.29,1
3605,0.848,-0.451,0.103,1.343,-2.075,9.277,-82.7,-55.706,-116.169,1
3632,0.965,-0.014,0.344,6.775,17.09,-0.427,11.788,-71.027,-116.395,1
3710,0.832,-0.523,0.1,7.813,-2.991,11.23,-83.007,-54.591,-115.274,1
3744,0.98,0.057,0.38,10.132,14.221,-0.977,12.052,-69.23,-115.763,1
3814,0.809,-0.628,0.073,-6.531,-0.366,13.123,-83.04,-53.3,-114.543,1
3858,0.965,0.089,0.381,11.597,10.193,-1.953,11.47,-67.95,-115.137,1
3905,0.8,-0.643,0.071,1.343,-1.099,11.841,-82.892,-52.075,-114.049,1
3933,0.975,0.089,0.391,10.559,8.606,-3.845,12.145,-67.033,-115.269,1
3995,0.793,-0.624,0.083,-5.676,1.831,8.423,-82.672,-51.18,-113.868,1
4039,0.915,0.09,0.348,10.376,10.132,-2.686,13.063,-66.297,-115.692,1
4101,0.783,-0.616,0.078,9.155,-0.916,5.859,-82.266,-50.603,-113.599,1
4142,0.931,0.094,0.368,-5.005,4.639,1.221,13.914,-65.737,-115.889,1
4190,0.77,-0.613,0.07,8.118,-0.977,4.944,-82.095,-50.169,-113.346,1
4248,0.931,0.086,0.435,2.502,2.869,0.916,13.865,-65.407,-115.609,1
4296,0.784,-0.608,0.083,4.883,-1.587,4.883,-81.958,-49.746,-112.983,1
4338,0.943,0.108,0.458,12.268,3.235,-0.122,13.92,-64.88,-115.159,1
4385,0.755,-0.604,0.095,7.263,-2.319,5.432,-81.766,-49.224,-112.484,1
4459,0.932,0.126,0.449,9.766,16.907,-1.77,14.321,-63.732,-114.708,1
4506,0.763,-0.667,0.113,0.977,-2.258,5.188,-81.606,-48.763,-111.929,1
4563,0.958,0.109,0.522,5.981,12.817,0.122,13.947,-62.018,-113.961,1
4610,0.734,-0.674,0.077,-1.587,-2.38,7.385,-81.98,-47.884,-111.346,1
4668,0.917,0.146,0.508,11.658,18.86,-2.136,14.046,-60.447,-113.467,1
4685,0.735,-0.758,0.071,0,-2.869,8.301,-81.832,-47.285,-110.896,1
4744,0.922,0.152,0.542,4.395,26.062,-1.892,13.804,-58.497,-112.868,1
4805,0.733,-0.74,0.087,1.282,-2.93,5.249,-81.689,-46.983,-110.55,1
4848,0.89,0.169,0.57,-4.211,34.363,-2.136,13.651,-55.377,-112.055,1
4881,0.735,-0.941,0.058,8.179,-5.798,11.169,-81.914,-46.406,-110.209,1
4953,0.812,0.198,0.525,-11.78,13.489,1.77,13.629,-53.476,-111.55,1
4985,0.7,-0.667,0.083,0.61,-1.038,6.409,-81.815,-45.56,-109.775,1
5073,0.829,0.163,0.614,1.221,8.789,1.709,14.019,-52.377,-111.308,1
5096,0.711,-0.672,0.1,1.77,-0.977,5.493,-81.595,-45.077,-109.545,1
5208,0.829,0.157,0.644,2.502,6.531,0.122,13.925,-51.762,-111.055,1
5253,0.818,0.14,0.637,-1.343,6.653,0.122,13.744,-51.158,-110.945,1
5301,0.709,-0.671,0.111,8.606,-1.221,3.052,-81.304,-44.291,-109.27,1
5373,0.788,0.188,0.631,3.967,7.385,1.221,13.887,-50.51,-110.643,1
5386,0.698,-0.707,0.101,3.174,-2.563,4.272,-81.09,-43.995,-108.951,1
5463,0.795,0.156,0.651,-2.38,9.644,1.221,13.837,-50.043,-110.275,1
5485,0.699,-0.72,0.098,-0.305,-2.136,7.202,-81.315,-43.467,-108.688,1
5568,0.759,0.156,0.687,2.014,12.695,4.15,12.925,-48.889,-109.578,1
5580,0.656,-0.734,0.088,1.77,-4.883,12.695,-82.106,-42.396,-108.023,1
5657,0.771,0.196,0.667,4.761,17.09,0.61,12.788,-47.461,-108.803,1
5675,0.667,-0.726,0.102,2.625,-2.258,11.047,-82.332,-41.281,-107.347,1
5764,0.75,0.164,0.672,5.554,12.146,-0.244,13.206,-46.187,-108.506,1
